The Desperate Hours	1955
Pie in the Sky	1995
The Pillow Book	1997
Elektra	2005
Pocahontas	1995
And Then Came Love	2007
Protocols of Zion	2005
The Puffy Chair	2006
Whipped	2000
Powder	1995
Ivory Tower	1998
The Queen	2007
Power of Attorney	1995
I Timi Tis Agapis	1984
Private Obsession	1995
Pas de scandale	1999
The Prophecy	1995
Star Trek: Nemesis	2002
Proteus	1995
The Lost Son	1998
Punk's Not Dead	2007
Stupeur et Tremblements	2004
The Private Public	2000
7 Days in September	2002
A Touch of Class	1973
Chang Hup The Gi Tril Nung	2005
Trader Horn	1973
The Train Robbers	1973
Rocky	1948
Raising Helen	2004
Out Cold	2001
Trip with Teacher	1973
The Triple Echo	1972
Gothika	2003
Used People	1992
The Reluctant Saint	1962
Love on a Pillow	1962
Reptilicus	1961
Requiem for a Heavyweight	1962
Rien ? Faire	1999
Two People	1973
Masai: The Rain Warriors	2006
Assassination Tango	2003
Utz	1992
Thumbsucker	2005
The Vagrant	1992
Ride the High Country	1962
The Road to Hong Kong	1961
Laissez Passer	2002
Under Milk Wood	1971
Uncommon Valor	1983
Venice/Venice	1992
Melinda and Melinda	2005
Rome Adventure	1962
Prisoner of Paradise	2003
The Vault of Horror	1973
Rockets Redglare!	2004
Under Fire	1983
Almost Peaceful	2004
Cats & Dogs	2001
Kissed by Winter	2005
Valley Girl	1983
Sanjuro	1962
An Autumn Afternoon	1962
Satan Never Sleeps	1962
Acacia	2003
Acquaria	2004
Visions of Eight	1973
Viva Laldjerie	2004
My Wife Is an Actress	2002
Romeo Must Die	2000
Walking Tall	1973
A Warm December	1973
Videodrome	1983
La Vie Est Un Roman	1983
The Fourth Man	1983
The Overture	2005
The Condemned of Altona	1962
Confidentially Yours	1984
Belle Toujours	2006
Sergeants 3	1962
Walking the Edge	1985
WarGames	1983
The Waterdance	1992
Wavelength	1983
Waterland	1992
Waxwork II: Lost in Time	1992
Where Is Parsifal?	1984
Wayne's World	1992
4	2006
The Wild Duck	1983
Dream House	2006
Without a Trace	1983
Sinbad: Legend of the Seven Seas	2003
The Tic Code	2000
Treehouse Hostage	1998
Trilogy	1968
Missing Brendan	2003
Tres Pajaros	2002
Voyages	1999
Snoop Dogg's Hood of Horror	2007
The Hitchhiker's Guide to the Galaxy	2005
The Zodiac	2006
Uncle Nino	2005
Metallica: Some Kind of Monster	2004
The Whole Ten Yards	2004
Rize	2005
Rock School	2005
A Pyromaniac's Love Story	1995
Quiet Days in Hollywood	1997
The Chumscrubber	2005
The Salon	2007
Destroyer	1988
Raging Angels	1995
I Could Never Be Your Woman	2007
Die Hard	1988
A Reason to Believe	1995
Reckless	1995
Red Hot	1993
One Love	2003
ATL	2006
Messiah	1999
Dirty Rotten Scoundrels	1988
Distant Thunder	1988
Distant Voices, Still Lives	1989
The Reggae Movie	1996
Doin' Time on Planet Earth	1988
The Martins	2001
Dominick and Eugene	1988
Restoration	1995
Richard III	1995
Dr. Alien	1989
The Triumph of Love	2002
The Dressmaker	1988
Rob Roy	1995
Margaret	2010
Skipped Parts	2001
Roommates	1995
Black Point	2001
Eight Men Out	1988
The Sweetest Thing	2002
Wattstax	1973
The Way We Were	1973
Blue Hill Avenue	2003
Gitano	2000
Autumn in New York	2000
Encounter at Raven's Gate	1990
White Lightning	1973
Wicked, Wicked	1973
Wonder Women	1973
The Working Girls	1974
The World's Greatest Athlete	1973
Butterfly Man	2002
Strange Planet	1999
The Wrestler	1974
Kamchatka	2002
Mi In	2000
When the Party's Over	1992
Where Sleeping Dogs Lie	1991
The Hollywood Sign	2001
Yessongs	1973
The Young Nurses	1973
Children on Their Birthdays	2002
Zardoz	1974
Where the Day Takes You	1992
Whispers in the Dark	1992
White Men Can't Jump	1992
White Sands	1992
Me and the Mob	1992
Una Vita Difficile	1962
The Spiral Road	1962
State of Siege	1973
Wind	1992
Chicago	2002
State Fair	1962
Xtro	1983
The Year of Living Dangerously	1982
Yellowbeard	1983
Yentl	1983
Life on the Ledge	2005
Subarnarekha	1965
Sweet Bird of Youth	1962
Cocaine Cowboys	2006
Voices from Beyond	1983
Zelig	1983
Taras Bulba	1962
The Cookout	2004
Ziggy Stardust and the Spiders from Mars	1983
Take My Eyes	2006
Tender Is the Night	1961
Term of Trial	1963
A Nos Amours	1983
Year of the Comet	1992
One Deadly Summer	1982
That Touch of Mink	1962
These Are the Damned	1961
The Three Stooges Meet Hercules	1961
Zebrahead	1992
The Three Stooges in Orbit	1962
Tickle Me	1965
Zipperface	1992
Scenes of a Sexual Nature	2006
Pieces of April	2003
Sing Now or Forever Hold Your Peace	2007
Smokin' Aces	2007
Apsolutnih Sto	2001
Devour	2005
Humble Pie	2007
Prime	2005
The Omen	2006
Empire	2002
Rude	1995
The Run of the Country	1995
One Last Thing	2006
Smith!	1969
Some Girls Do	1969
Toots	2006
Sabrina	1995
Evilenko	2004
Some Kind of a Nut	1969
Super 8 Stories	2001
The Sadness of Sex	1995
Ernest Saves Christmas	1988
Safe	1995
The Roost	2005
The Everlasting Secret Family	1988
Savage	1997
Staircase	1969
The Stalking Moon	1969
The Sterile Cuckoo	1969
Stiletto	1969
The Battle of Shaker Heights	2003
Belly of the Beast	2003
Unknown White Male	2006
Evil Laugh	1988
Savage Hearts	1994
Fair Game	1989
The Scarlet Letter	1995
Saw	2004
Off the Lip	2004
Fantozzi Va in Pensione	1988
Far North	1988
Brother of Sleep	1996
Seed of Chucky	2004
Sweet Charity	1969
The Old Man Who Read Stories	2001
Fear	1988
Score	2000
Scorpion Spring	1996
Seven	1995
Take the Money and Run	1969
Target: Harry	1969
Search and Destroy	1995
A Fish Called Wanda	1988
Silmido	2004
Taste the Blood of Dracula	1970
Tell Them Willie Boy Is Here	1969
The Opponent	2000
Sense and Sensibility	1995
Totally Confused	1998
That Cold Day in the Park	1969
They Shoot Horses, Don't They?	1969
Frankenstein General Hospital	1988
Frantic	1988
Freeway	1988
Fresh Horses	1988
Three	1969
Three into Two Won't Go	1969
The Fruit Machine	1989
Full Moon in Blue Water	1988
Funny Farm	1988
The Deadly Females	1976
The Further Adventures of Tennessee Buck	1988
Galactic Gigolo	1988
No Maps for These Territories	2000
Pay It Forward	2000
The Wind Will Carry Us	2000
Villa Des Roses	2002
Nunmul	2000
The Wedding Planner	2001
Honor and Glory	1993
Tower of London	1963
All the Way	2003
Wish You Were Dead	2000
House of Angels	1992
Ray	2004
The Alamo	2004
Two Weeks in Another Town	1962
Two for the Seesaw	1962
An Unfinished Life	2005
The Ugly American	1963
Monkey in Winter	1962
Oasis	2004
Red Doors	2006
My Life to Live	1962
A View from the Bridge	1962
I Do & I Don't	2007
Goal!	2006
Getting Played	2005
Walk on the Wild Side	1962
Waltz of the Toreadors	1962
War Hunt	1962
We Are in the Navy Now	1962
What Ever Happened to Baby Jane?	1962
The Dragon Gate	1994
Who's Got the Action?	1962
Tribulation	2000
Love in the Time of Money	2002
The Recruit	2003
Freestyle: The Art of Rhyme	2004
Fixing Frank	2001
The Purifiers	2004
Qui Perd Cagne!	2004
The President's Last Bang	2005
George Washington	2000
Waiting for the Messiah	2000
Esther Kahn	2000
The Executioner	1974
C'est quoi la vie	1999
Carnivale	1999
Trembling Before G-d	2001
Carman: The Champion	2001
Eyes of the Holocaust	2002
Around the World in 80 Days	2004
Tintin et le Temple du soleil	1969
The Riddle	2007
Topaz	1969
She Good Fighter	1996
The Trouble With Girls	1969
Ghost Town	1988
The Show	1995
Showgirls	1995
Two Mules for Sister Sara	1970
Nutty Professor II: The Klumps	2000
Silent Hunter	1995
Love Is a Funny Thing	1969
Why We Fight	2006
Going Undercover	1988
Yeoja, Jeong-Hye	2004
The Undefeated	1969
Outside Ozona	1998
Highway Hitcher	1998
Zoo Rangers in India	2006
Gor	1988
Gorod Zero	1989
The Skateboard Kid II	1994
Downhill Willie	1996
Skinner	1993
Puddle Cruiser	1996
Misery Harbour	1999
Grievous Bodily Harm	1988
Grotesque	1988
Sleepstalker: The Sandman's Last Rites	1995
Small Faces	1995
Wilderness Survival For Girls	2004
Smoke	1995
The Virgin Soldiers	1969
Viva Max!	1970
Halloween 4: The Return of Michael Myers	1988
A Handful of Dust	1988
Hanna's War	1988
Some Kind of Life	1995
Someone Else's America	1996
Someone to Die For	1995
Something to Talk About	1995
A Walk with Love and Death	1969
Haunted Summer	1988
Heart of Midnight	1989
Heartbreak Hotel	1988
Hellbound: Hellraiser II	1988
Herbstmilch	1988
Hero and the Terror	1988
Hide and Go Shriek	1987
Particles of Truth	2004
Partners in Action	2002
Puder	2001
What Time Is It There?	2002
The Wonderful World of the Brothers Grimm	1962
The Wrong Arm of the Law	1963
Freshman Orientation	2007
Talladega Nights: The Ballad of Ricky Bobby	2006
Reines d'un Jour	2001
Nationale 7	2000
The Exterminating Angel	1962
Fausto 5.0	2001
2010	1984
Against All Odds	1984
All of Me	1984
Alphabet City	1984
Amadeus	2002
American Dreamer	1984
This Space Between Us	1999
Golpe de Estadio	1999
Perfume: The Story of a Murderer	2006
Angel	1984
Green	1998
Another Life	2001
No Good Deed	2003
Gunblast Vodka	2000
Return to Sender	2004
The Invitation	2001
Guest House Paradiso	1999
The Rules of Attraction	2002
The Law of Enclosures	2000
Kabhi Khushi Kabhie Gham	2001
Beyond the Mat	2000
The Tomorrow Man	2001
Days and Hours	2004
Life Without Dick	2001
